학교명,X_i,S_i,B_i,D_i,SCR(2025),SCR_temp
중앙탑초등학교,-0.35043109823729657,-0.4895959782697451,0.360003719559609,3.111946420861997,0.813032474669422,-0.005200720071261655
수정초등학교삼가분교장,-0.4909006847344206,-1.1343135174763253,-0.9485656588941211,-0.8118121097900861,0.42191715197047486,-1.0210060549511466
대강초등학교장정분교장,-0.4881993465325528,-0.3940822687576591,-1.2330372629058015,-0.8118121097900861,0.40977219151629607,-0.7133088626498749
별방초등학교,-0.43957525889893295,-0.43424144207524074,-1.2330372629058015,-0.8118121097900861,0.40364004560552835,-0.7329652035928639
야동초등학교,-0.4503806117064041,-0.5444853502945479,0.360003719559609,1.1500671555359554,0.3557834425089089,-0.13848131362466065
미봉초등학교,-0.41121120777932135,-1.1240799057428874,-0.5929761538795206,-0.8118121097900861,0.2760034142165741,-0.8869367678948906
대장초등학교,-0.3936525094671809,0.623397518532419,0.2177679175537687,1.1500671555359554,0.2162015173271022,0.4569081386400882
동락초등학교,-0.462536633614809,-0.9831420029728217,0.360003719559609,0.16912752287293462,0.17938603772199602,-0.4293972553262826
대소원초등학교,-0.06273857973837897,2.0144244927370085,0.360003719559609,2.131006788198976,0.12027136622792432,1.3373481832742478
능산초등학교,-0.4287699060914619,-0.6379833484045929,0.2177679175537687,-0.8118121097900861,-0.07628181980778617,-0.33670117127278454
단천초등학교가산분교장,-0.47064064822041235,2.9386639524319116,-1.2330372629058015,-0.8118121097900861,-0.09452941624017465,1.1205794939199962
남한강초등학교,0.4829317370389107,-0.44987158576781044,0.360003719559609,0.16912752287293462,-0.1369716175221856,-0.08882510733084036
추산초등학교,3.885267202291368,-0.11207592603754005,-1.489061706516314,1.1500671555359554,-0.14581702550251208,-0.3310466387099909
입석초등학교,-0.4220165605867925,0.5346955234134363,0.03286137494617595,-0.8118121097900861,-0.1891546970440004,0.24389258558970758
송죽초등학교,1.5094402537486635,-0.2433050132479366,-0.9485656588941211,-0.8118121097900861,-0.21181935828455456,-0.43093433070137865
내곡초등학교,-0.30991102520928004,-0.3379524589469852,1.4409958148039943,0.16912752287293462,-0.3338960293187966,0.3114355076437389
강천초등학교,-0.05868657243557732,0.1651404815150259,0.360003719559609,-0.8118121097900861,-0.33905375841174423,0.1733036325678442
옥산초등학교소로분교장,-0.3639377892466354,-0.032514036016595096,1.4409958148039943,0.16912752287293462,-0.36620510174901627,0.47672530205358565
상신초등학교,-0.13567471118880878,0.641320865380887,1.5263372960074986,0.16912752287293462,-0.5542156248943216,0.8886171701463186
