,학교명,new위도,new경도,폐교일자
0,문광초등학교덕평분교장,36.7304827,127.7966318,20110228.0
1,보광초등학교화곡분교장,36.8004935,127.7129003,20130301.0
2,추산초등학교,36.9027655,127.8177012,20170301.0
3,단천초등학교가산분교장,36.8933094,128.3055166,20190228.0
4,대강초등학교장정분교장,36.846632,128.395263,20170701.0
5,별방초등학교,37.0963571,128.4158125,20220228.0
6,송죽초등학교,36.4379566,127.7348414,20220228.0
7,수정초등학교삼가분교장,36.4909469,127.8600488,20180301.0
8,미봉초등학교,36.1279809,127.7272049,20180301.0
9,대성초등학교,36.2129021,127.6302572,20140301.0
10,이원초등학교지탄분교장,36.2439335,127.6822196,20120301.0
11,남신초등학교덕생분교장,36.9143459,127.6236009,20120301.0
12,능산초등학교,37.0401855,127.5383208,20230301.0
13,대장초등학교,36.9237675,127.7518883,20190301.0
14,입석초등학교,37.1997477,128.2933088,20210301.0
15,상신초등학교,36.924237,127.4664883,20190228.0
16,진천삼수초등학교매산분교장,36.8858468,127.4817158,20130301.0
17,남일초등학교두산분교장,36.5575444,127.5404654,20110228.0
18,옥산초등학교소로분교장,36.6886971,127.4037826,20190228.0
19,외천초등학교,36.540986,127.432369,20120229.0
20,내곡초등학교,36.660199,127.428888,20190228.0
21,중앙탑초등학교,37.027309,127.8555032,20180301.0
22,강천초등학교,37.1631382,127.7525267,20190228.0
23,남한강초등학교,36.9694819,127.9269675,20200229.0
24,노은초등학교수상분교장,37.0505138,127.7156918,20130228.0
25,대소원초등학교,36.9755899,127.8252968,20200229.0
26,동락초등학교,37.00345,127.686138,20220228.0
27,엄정초등학교목계분교장,37.0813513,127.8907311,20090301.0
28,야동초등학교,37.1004113,127.8776945,20200229.0
