"행정구역별(1)",2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024
"행정구역별(1)",인구(명),출생아수(명),조출생률(인구천명당),인구(명),출생아수(명),조출생률(인구천명당),인구(명),출생아수(명),조출생률(인구천명당),인구(명),출생아수(명),조출생률(인구천명당),인구(명),출생아수(명),조출생률(인구천명당)
"충청북도",1630839,8952,5.5,1632358,8683,5.3,1633687,8375,5.1,1635672,7994,4.9,1637564,8022,4.9
"청주시",855530,5379,6.3,859652,5319,6.2,861345,5171,6.0,864352,4962,5.7,866741,5000,5.8
"충주시",216776,1104,5.1,216608,1010,4.7,215972,933,4.3,215787,891,4.1,215637,896,4.2
"제천시",134741,614,4.6,133885,568,4.2,133755,518,3.9,133210,492,3.7,132610,492,3.7
"보은군",31666,95,3.0,31369,81,2.6,31179,84,2.7,31016,77,2.5,30926,74,2.4
"옥천군",48985,168,3.4,48671,145,3.0,48452,127,2.6,48471,118,2.4,48514,115,2.4
"영동군",47171,195,4.1,46114,152,3.3,45397,132,2.9,44808,121,2.7,44415,119,2.7
"증평군",37298,205,5.5,36720,225,6.1,37353,251,6.7,37739,243,6.4,37991,245,6.4
"진천군",89694,596,6.6,92721,590,6.4,93826,575,6.1,94775,548,5.8,95828,550,5.7
"괴산군",36773,79,2.1,36811,76,2.1,36896,67,1.8,37272,64,1.7,37596,64,1.7
"음성군",103855,439,4.2,102037,450,4.4,102135,459,4.5,100997,424,4.2,100160,415,4.1
"단양군",28350,78,2.8,27770,67,2.4,27377,58,2.1,27245,54,2.0,27146,52,1.9
