구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,4,5,6,11,7,7,9,6,6,11,3,7
부산,2,0,6,2,3,2,2,2,4,4,4,3
대구,1,4,2,3,2,2,2,1,0,2,1,2
인천,4,1,8,1,2,4,1,3,5,4,3,1
광주,1,0,2,2,6,1,1,1,0,0,0,1
대전,0,2,2,3,1,1,1,1,0,1,2,1
울산,1,1,1,2,2,2,1,1,1,1,1,1
세종,0,0,0,1,2,1,2,1,0,0,0,0
경기남부,4,0,10,7,12,11,10,5,7,12,5,8
경기북부,0,1,0,1,8,6,9,1,4,2,3,5
강원,0,0,0,0,1,1,1,2,0,1,0,0
충북,2,0,2,2,1,0,1,1,1,3,1,0
충남,0,1,3,2,5,3,1,0,4,4,2,3
전북,2,0,3,3,1,2,3,0,0,2,2,1
전남,1,0,3,0,0,3,0,1,1,2,1,2
경북,0,1,2,3,3,2,1,1,1,2,0,1
경남,0,3,0,2,4,2,2,2,4,0,2,1
제주,0,1,1,1,1,1,2,0,1,0,0,0
