학교명,폐교연도,활용현황,활용계획,대부내역
(구)내북초,2013,대부,사회복지시설,내부 장애인재활교육장
어상천초 선암분교장,2001,대부,교육용시설,자연학습체험학교
어상천초 덕문곡분교장,1992,대부,소득증대시설,체험학습장
양화초,1995,대부,교육용시설,지적박물관
양산초천태분교장,1994,대부,교육용시설,"청소년 수련, 체험, 도서관"
앙성초 영죽분교장,1999,대부,소득증대시설,영농체험 및 도농교류사업장
안내초 용촌분교장,1995,대부,소득증대시설,"지역주민 소득증대시설 및 농촌 체험학습, 캠핑장"
수회초 팔봉분교장,1999,대부,소득증대시설,전통문화체험 및 자연생태체험학습장
엄정초 목계분교장,2009,대부,소득증대시설,"공동작업장,농촌체험 및 귀농귀촌교육센터"
수정초 법주분교장,2007,대부,교육용시설,숲길안내센터
소태초 덕은분교장,1996,대부,소득증대시설,농산촌 생태체험학습장 및 도농교류사업장
소이초 대장분교,2019,대부,문화시설,미술관
세평초,1998,대부,교육용시설,체험학습 캠핑장
세성초 향산분교장,1993,대부,교육용시설,전통문화체험시설
세성초 공이분교장,1999,대부,소득증대시설,목공예작업실 및 반려동물용품체험장
상촌초 황학분교장,1998,대부,소득증대시설,"컨테이너 및 이동주택 제작, 판매, 전시"
상촌초 대해분교장,1991,대부,기타,영동군 산촌거점권역사업
송학초 송한분교장,1993,대부,교육용시설,청소년이용 및 가족체험시설
삼산초 중초분교장,1999,대부,사회복지시설,보은지역자활센터
영동초 화신분교장,1993,대부,교육용시설,작은도서관
오수초,1999,대부,소득증대시설,체험 및 휴식공간(야영장)
학산초 봉산분교장,1999,대부,교육용시설,한옥 건축기술 교육 및 전수
탄부초 사직분교장,2002,대부,교육용시설,"테마파크운영(캠핑, 체험학습, 갤러리)"
추평초,1999,대부,소득증대시설,주말영농체험장
청천초 대후분교장,1993,대부,기타,복합시설 조성 및 운영
청성초 묘금분교장,2000,대부,소득증대시설,지역주민 소득증대시설 및 공동이용시설(캠핑장)
청산초 대월분교장,1995,대부,소득증대시설,캠핑장
청동초,1999,대부,소득증대시설,소득증대시설(농.특산물 가공및 판매)
영춘초 의풍분교장,2009,대부,소득증대시설,"농특산물 생산, 전시 및 판매시설"
천덕초,1999,대부,교육용시설,사이버노동대학연수원
입석초,2021,대부,기타,제천경찰서 임시청사
이원초 지탄분교장,2012,대부,교육용시설,전통한옥제작 및 체험학습
유덕초 복평분교장,1995,대부,소득증대시설,농촌휴양시설
원남초 문암분교장,1999,대부,사회복지시설,결혼 이주 여성 관련 사회복지시설
용화초 자계분교장,1991,대부,문화시설,"공연, 문화예술활동"
용암초,1999,대부,소득증대시설,캠핑장 및 피싱파크
옥산초 호죽분교장,1999,대부,소득증대시설,약용식물 생산
창암초,1998,대부,교육용시설,농촌 승마체험장
산척초 명서분교장,1992,대부,교육용시설,청소년 수련시설
야동초,2020,대부,소득증대시설,영농체험시설
산외초 산대분교장,1992,대부,소득증대시설,마루치 체험학교
단천초 두항분교장,1991,대부,소득증대시설,자연체험학습장
단양초 노동분교장,1999,대부,소득증대시설,올산채소작목반영농조합법인
내북초 이식분교장,1999,대부,소득증대시설,일상화 글램핑장
내북초 아곡분교장,2002,대부,소득증대시설,키즈드림캠핑장
낭성초 갈산분교장,2004,대부,교육용시설,키즈캠핑장
금성초 중전분교장,1992,대부,소득증대시설,농산물가공시설
대강초 올산분교장,1992,대부,소득증대시설,영농조합법인 단양귀농귀촌종합센터
금성초 장선분교장,1996,대부,소득증대시설,콩가공시설
산외초 장갑분교장,2002,대부,소득증대시설,속리산 사나래캠핑장
공전초,1999,대부,교육용시설,발효아카데미
강천초 단암분교장,1995,대부,소득증대시설,"도농교류체험장, 항공기사용사업 및 항공레저스포츠사업"
강천초,2019,대부,소득증대시설,지역특산물판매사업장 및 체험학습장
가덕초 상야분교장,2004,대부,문화시설,도서관 및 문화예술체험교육장
(구)북암초,1981,대부,소득증대시설,마을 소득증대시설
구정초 오상분교장,2002,대부,소득증대시설,태양광에너지발전연구소
대성초,2014,대부,소득증대시설,지역주민 소득증대시설 및 공동이용시설
관기초 기대분교장,1994,대부,소득증대시설,대추재배
복성초,1992,대부,문화시설,목공예작업실
별방초 유암분교장,1995,대부,소득증대시설,화장품 원료 제조
백봉초 장암분교장,1999,대부,교육용시설,"친환경 토종, 토양, 생태 자연학습장"
백곡초 성대분교장,1999,대부,소득증대시설,도자기공방 및 체험학습
미원초 종암분교장,2000,대부,사회복지시설,담쟁이장애인작업보호장
무극초 사정분교장,1995,대부,소득증대시설,김종구
매포초기동분교장,1990,대부,기타,농장물 경작
미봉초,2018,대부,교육용시설,마을공동이용시설 (행복교육지구사업연계)
동량초 하천분교장,1995,대부,교육용시설,작은도서관
덕산초 월악분교장,1992,대부,교육용시설,전통문화체험학교 및 캠핑장
두학초 자작분교장,1992,대부,교육용시설,천연염색체험장 및 야영장
오창초 가좌분교장,2008,미활용,건물 정밀안전점검 D등급으로 대부 추진 어려움,
남당초 삼선분교장,1993,미활용,귀농귀촌센터사업부지,
남신초 덕생분교,2012,미활용,2023년 집중호우로 폐교 건물 지반 침하 및 기둥 이탈로 안전점검 용역 실시결과 E등급 2024년 1추 예산 요구하여 철거 예정,
노은초 수룡분교장,1996,미활용,마을 공원 조성 예정(충주시청 생태건강도시과 협의 중),
능산초,2023,미활용,국토의 계획 및 이용에 관한 법률(도시계획)에 따라 군계획시설(학교) 폐지 후 대부 추진 예정,
단천초 가산분교장,2019,미활용,매각결정,
대강초 장정분교장,2017,미활용,자체활용 검토,
동량초 서운분교장,1999,미활용,충주시청 관광과 폐교활용 용역 진행 중,
문의초 구룡분교장,1992,미활용,건물 정밀안전점검 D등급으로 대부 추진 어려움,
청천초 신월분교장,2007,미활용,괴산군에 매각 협의 중,
청성초 화성분교장,1999,미활용,도교육청 자체활용계획(남부3군 전공과),
백봉초 운곡분교장,1995,미활용,괴산군에 매각 협의 중,
유덕초,1999,미활용,귀농귀촌센터사업부지,
구)상신초,2019,미활용,자체활용 검토,
용산초,1999,미활용,무단점유로 인한 퇴거 명령 조치 진행중,
생극초 관성분교장,1999,미활용,2021년 매각공고(입찰) 6차 진행하였으나 유찰 2022. 1추 감정평가 수수료 반영 및 감정평가 실시 2023년매각공고(입찰) 6차 진행하였으나 유찰 2024년 1추 감정평가 수수료 반영 요구 예정 2024년 감정평가 실시 완료 후 매각 입찰 예정,
성암초 연곡분교장,1991,미활용,"노후 건물 철거 완료, 부지 자체활용 검토",
소수초 광신분교장,1995,미활용,매각 추진 중,
어상천초연곡분교장,1993,미활용,매각결정,
미원초 용곡분교장,2000,미활용,학교부지의 절반 가량이 국유지여서 대부 추진 어려운 상태,
괴산명덕초 제월분교장,1996,미활용,대부 추진 중,
추산초,2017,미활용,충청북도에 매각 협의 중,
관기초 소여분교장,1995,미활용,대부공고 추진예정,
관기초 적암분교장,1995,미활용,대부공고 추진예정,
회남초 분저분교장,1992,미활용,대부공고 추진예정,
감곡초 상평분교장,2000,미활용,2023년 극동대학교 대부 중도 해지 요청에 따라 해지되었으며 2024년 대부 추진 예정,
(구)복대초,2023,자체활용,충청북도교육도서관 임시청사,
동광초 학림분교장,2003,자체활용,보은 인라인롤러경기장,
신덕초,1994,자체활용,진천유치원,
노은초 수상분교장,2013,자체활용,충주혜성학교,
영춘초 동대분교장,1999,자체활용,충청북도학생수련원,
오창초 유리분교장,2008,자체활용,충북특수교육권(다사랑체육관),
외천초,2012,자체활용,충북학생체육센터,
남한강초,2020,자체활용,충북소프트웨어교육지원체험센터,
남일초 두산분교장,2010,자체활용,충북두산학생테니스장,
남이초 구암분교장,1992,자체활용,청주혜화학교,
성남초 종인분교장,1995,자체활용,충청북도교직원복지회관,
상촌초 물한분교장,1991,자체활용,영도휴양소,
(구)중앙탑초,2018,자체활용,단재교육연수원북부분원,
청풍초 학현분교장,1990,자체활용,충청북도학생수련원 제천분원 청풍마음쉼터,
(구)옥동초,2014,자체활용,충청북도국제교육원 중부분원,
칠성초 쌍곡분교장,1991,자체활용,교직원휴양소,
대소원초,2020,자체활용,(가칭)중ㆍ북부교육시설복합센터,
현암초,1999,자체활용,충북학생롤러경기장,
죽향초 군북분교장,1994,자체활용,학생전용 정구장,
